深度/m	杨氏模量/Gpa	泊松比	断裂韧性/MPa·m^0.5	水平应力差/Mpa	垂向应力差/Mpa
11.4	35	0.183	0.82	9.4	15.7
11.5	31	0.185	1.33	8.8	12.3
11.6	37	0.322	1.04	5.8	17.3
11.7	22	0.21	1.19	8.3	14.6
11.8	34	0.371	0.09	9.4	12.9
11.9	40	0.163	1.11	5.6	13.7
12.0	14	0.265	0.76	6.1	10.7
12.1	27	0.37	1.48	6.1	16.5
12.2	31	0.27	1.4	6.5	10.4
12.3	21	0.168	0.36	8.8	10.9
12.4	32	0.321	1.04	9.7	16.1
12.5	24	0.236	0.15	7.3	14.8
12.6	10	0.249	0.45	5.7	15.8
12.7	10	0.29	0.33	6.2	14.0
12.8	17	0.138	0.83	7.1	11.4
12.9	14	0.222	0.41	7.0	10.7
13.0	31	0.373	1.13	6.6	10.2
13.1	15	0.209	0.83	7.2	12.4
13.2	36	0.283	1.18	7.0	17.9
13.3	21	0.267	0.35	6.8	13.3
13.4	15	0.198	1.42	6.9	19.7
13.5	39	0.314	1.29	5.9	12.6
13.6	22	0.386	0.46	5.3	11.5
13.7	28	0.354	0.96	9.0	18.6
13.8	13	0.206	1.46	9.4	13.8
13.9	28	0.307	0.3	6.5	12.8
14.0	18	0.109	0.09	9.8	11.1
14.1	26	0.135	0.12	7.3	10.8
14.2	29	0.111	1.47	5.1	17.3
14.3	14	0.181	0.88	8.2	12.0
14.4	21	0.246	0.01	6.7	10.5
14.5	14	0.116	0.1	7.4	11.4
14.6	15	0.114	0.23	7.6	14.8
14.7	21	0.393	0.42	8.5	12.9
14.8	34	0.294	0.74	9.7	12.1
14.9	38	0.271	0.15	9.9	18.5
15.0	31	0.126	1.38	9.3	17.4
15.1	29	0.4	0.07	6.2	20.0
15.2	19	0.234	0.66	9.1	18.0
15.3	27	0.302	0.05	5.6	15.5
15.4	12	0.237	0.0	10.0	18.1
15.5	27	0.361	1.46	6.5	17.3
15.6	23	0.272	0.87	6.9	11.0
15.7	22	0.323	1.3	6.5	12.5
15.8	11	0.301	0.29	5.2	15.2
15.9	15	0.119	0.74	6.9	14.9
16.0	31	0.386	1.38	8.8	16.4
16.1	35	0.202	0.68	8.9	11.1
16.2	37	0.276	0.62	8.4	16.6
16.3	24	0.31	1.22	5.9	16.5
16.4	17	0.15	1.22	5.2	10.8
16.5	21	0.318	0.57	5.1	15.6
16.6	30	0.374	0.38	7.2	12.0
16.7	20	0.297	0.81	8.1	10.9
16.8	31	0.148	0.06	6.2	15.4
16.9	12	0.139	1.19	7.1	16.9
17.0	28	0.237	1.0	9.4	15.7
17.1	33	0.142	0.38	8.7	19.6
17.2	26	0.224	0.45	5.2	16.1
17.3	27	0.207	0.89	7.0	13.7
17.4	26	0.275	0.65	6.1	12.6
17.5	26	0.206	0.39	5.6	13.4
17.6	20	0.267	0.21	7.7	15.7
17.7	38	0.196	1.46	8.6	12.4
17.8	23	0.261	1.2	9.8	19.9
17.9	12	0.274	1.26	6.7	16.9
18.0	23	0.14	1.49	7.5	14.0
18.1	39	0.154	0.2	6.1	11.7
18.2	29	0.268	0.74	9.9	17.7
18.3	16	0.32	0.71	9.1	11.1
18.4	36	0.394	1.2	6.4	14.5
18.5	39	0.275	0.38	9.5	14.4
18.6	36	0.307	0.35	7.5	16.2
18.7	18	0.211	1.23	7.1	19.0
18.8	30	0.211	0.99	6.2	18.6
18.9	30	0.15	0.18	8.3	12.5
19.0	25	0.385	0.56	6.3	12.5
19.1	21	0.222	0.44	9.9	17.7
19.2	19	0.18	1.25	5.0	12.3
19.3	14	0.349	0.91	6.2	14.2
19.4	37	0.142	0.17	10.0	18.7
19.5	10	0.232	0.77	8.1	12.2
19.6	37	0.161	0.35	8.7	16.4
19.7	19	0.259	1.23	8.8	19.6
19.8	24	0.325	0.31	7.0	13.4
19.9	38	0.124	1.13	6.1	18.5
20.0	21	0.135	0.0	9.6	16.2
20.1	20	0.25	1.1	9.4	11.0
20.2	35	0.346	0.71	5.2	16.5
20.3	33	0.205	0.5	5.5	10.2
20.4	16	0.331	0.47	5.1	11.8
20.5	18	0.249	1.22	9.3	15.2
20.6	33	0.278	0.66	6.8	14.9
20.7	24	0.335	1.01	5.7	18.0
20.8	10	0.285	0.13	8.4	12.7
20.9	11	0.202	1.3	9.8	12.0
21.0	31	0.183	0.16	7.2	13.5
21.1	36	0.213	1.45	6.7	13.9
21.2	32	0.131	0.68	6.6	12.2
21.3	36	0.261	1.03	6.7	10.9
21.4	21	0.379	0.1	9.2	18.8
21.5	33	0.236	0.11	7.8	13.3
21.6	37	0.202	0.52	9.5	16.4
21.7	21	0.146	0.85	9.0	16.6
21.8	22	0.128	1.29	8.8	19.4
21.9	25	0.31	0.43	8.9	14.3
22.0	16	0.397	0.78	9.9	17.7
22.1	18	0.375	0.51	9.5	10.7
22.2	25	0.132	0.88	8.2	12.1
22.3	20	0.286	0.95	5.9	19.5
22.4	36	0.339	0.11	8.2	18.8
22.5	30	0.274	1.42	7.3	18.1
22.6	12	0.16	1.1	7.7	16.8
22.7	28	0.227	0.98	7.8	17.4
22.8	35	0.107	1.24	6.3	13.1
22.9	29	0.115	0.06	7.7	17.9
23.0	33	0.36	1.01	9.5	18.6
23.1	35	0.27	0.51	8.5	17.7
23.2	29	0.164	0.14	9.9	12.3
23.3	22	0.225	0.26	7.8	15.5
23.4	30	0.34	0.37	8.9	10.0
23.5	10	0.149	0.65	7.9	11.9
23.6	22	0.172	0.77	6.9	18.9
23.7	38	0.281	0.48	8.8	11.6
23.8	29	0.387	0.65	6.9	18.8
23.9	29	0.199	0.75	9.9	20.0
24.0	26	0.234	1.22	5.5	19.8
24.1	12	0.39	0.21	8.0	19.5
24.2	11	0.357	1.22	7.3	17.3
24.3	37	0.303	0.01	6.9	15.8
24.4	32	0.33	0.27	5.2	16.7
24.5	16	0.136	0.24	8.8	19.3
24.6	22	0.221	0.27	9.0	11.1
24.7	15	0.343	0.22	9.0	19.4
24.8	19	0.161	0.0	9.0	11.3
24.9	16	0.204	1.07	6.8	13.7
25.0	33	0.259	1.01	8.0	11.8
25.1	33	0.221	1.05	6.2	14.3
25.2	20	0.386	1.21	9.0	16.0
25.3	24	0.18	1.01	6.8	15.0
25.4	20	0.254	0.3	5.1	12.9
25.5	39	0.102	0.03	5.9	10.0
25.6	25	0.381	0.43	8.0	15.9
25.7	15	0.181	0.7	8.0	16.6
25.8	10	0.358	0.24	9.3	19.9
25.9	10	0.165	1.19	6.7	16.7
26.0	23	0.375	0.37	6.8	14.6
26.1	31	0.177	0.07	8.7	19.5
26.2	34	0.229	0.59	8.4	13.5
26.3	39	0.192	0.92	7.6	18.4
26.4	22	0.328	1.14	6.4	15.7
26.5	23	0.276	0.26	8.9	17.2
26.6	21	0.134	0.99	5.1	19.3
26.7	23	0.302	0.21	10.0	11.6
26.8	31	0.343	0.18	6.8	16.0
26.9	36	0.314	0.24	6.2	15.4
27.0	23	0.343	1.47	5.6	14.2
27.1	31	0.367	1.4	7.7	17.3
27.2	15	0.398	1.06	5.6	14.5
27.3	11	0.353	0.63	7.6	19.8
27.4	31	0.244	0.84	9.7	18.8
27.5	38	0.227	0.15	5.3	17.2
27.6	27	0.106	0.99	6.4	12.1
27.7	29	0.175	0.87	8.5	11.8
27.8	24	0.36	0.75	9.5	19.8
27.9	20	0.329	0.83	9.9	10.6
28.0	16	0.126	0.96	8.7	16.8
28.1	20	0.109	0.7	5.7	10.1
28.2	32	0.287	0.11	9.9	10.2
28.3	35	0.297	1.07	6.4	12.3
28.4	40	0.162	0.18	9.4	15.6
28.5	26	0.187	0.24	9.7	15.3
28.6	12	0.203	0.47	8.4	17.2
28.7	28	0.126	0.59	7.9	10.4
28.8	27	0.239	1.28	5.4	13.5
28.9	24	0.18	0.45	6.4	18.3
29.0	38	0.188	0.7	7.7	11.1
29.1	28	0.181	1.03	6.3	13.6
29.2	35	0.124	1.47	7.0	16.8
29.3	29	0.141	0.5	6.4	17.9
29.4	25	0.101	0.04	7.5	15.8
29.5	19	0.105	1.26	8.2	13.2
29.6	19	0.367	0.39	6.0	19.5
29.7	31	0.188	0.04	7.5	18.5
29.8	25	0.126	1.29	9.3	14.9
29.9	20	0.138	0.7	8.2	12.8
30.0	26	0.156	0.65	8.2	17.2
30.1	34	0.377	1.11	7.3	19.3
30.2	38	0.265	0.04	8.3	15.0
30.3	21	0.293	0.59	10.0	14.7
30.4	25	0.283	0.02	5.4	17.6
30.5	40	0.378	0.17	6.3	12.7
30.6	12	0.125	0.97	10.0	17.5
30.7	39	0.216	0.68	5.4	13.5
30.8	16	0.174	0.31	5.9	14.2
30.9	28	0.251	0.21	6.7	17.5
31.0	21	0.241	0.15	9.2	14.5
31.1	18	0.134	1.22	8.6	15.0
31.2	13	0.119	1.43	8.7	12.1
31.3	20	0.328	1.03	9.9	11.6
31.4	15	0.102	1.12	7.1	17.8
31.5	20	0.205	1.33	5.9	18.1
31.6	14	0.219	0.27	6.9	18.1
31.7	27	0.112	1.1	7.8	15.4
31.8	37	0.307	0.38	7.2	19.0
31.9	25	0.144	0.61	8.2	16.5
32.0	28	0.18	0.06	5.4	11.7
32.1	15	0.137	0.78	8.2	11.0
32.2	33	0.278	0.68	7.0	18.9
32.3	20	0.374	0.49	7.3	16.7
32.4	31	0.397	0.15	5.7	12.3
32.5	28	0.116	0.91	6.2	16.2
32.6	16	0.334	1.04	8.4	13.5
32.7	40	0.32	0.63	9.3	15.2
32.8	27	0.173	0.13	9.9	10.9
32.9	32	0.202	1.24	9.3	13.9
33.0	16	0.349	1.01	8.0	11.9
33.1	38	0.37	0.73	9.7	14.4
33.2	30	0.297	1.26	9.9	19.4
33.3	25	0.125	1.09	8.1	15.6
33.4	15	0.161	0.22	7.4	12.4
33.5	24	0.307	0.86	6.1	11.3
33.6	38	0.212	0.08	5.6	16.2
33.7	27	0.332	1.1	5.7	10.1
33.8	40	0.327	1.34	9.5	12.4
33.9	19	0.185	0.48	8.2	14.7
34.0	11	0.12	0.92	7.8	19.5
34.1	10	0.395	1.27	7.3	18.2
34.2	12	0.334	0.88	9.3	17.0
34.3	12	0.108	0.76	9.4	19.8
34.4	11	0.145	0.48	6.7	13.1
34.5	14	0.161	1.38	5.6	17.6
34.6	15	0.287	1.03	6.1	16.9
34.7	11	0.133	0.15	8.1	17.5
34.8	17	0.165	0.6	6.3	18.1
34.9	13	0.106	0.55	7.4	15.4
35.0	19	0.234	1.23	8.0	11.6
35.1	34	0.345	1.27	10.0	16.5
35.2	10	0.357	0.16	7.5	13.1
35.3	19	0.261	0.69	8.5	13.1
35.4	11	0.368	0.71	6.4	17.2
35.5	27	0.155	0.64	6.5	17.7
35.6	19	0.238	0.64	8.6	15.2
35.7	33	0.224	0.79	6.3	14.9
35.8	12	0.358	0.15	6.5	19.3
35.9	22	0.127	0.44	6.9	14.1
36.0	37	0.175	0.65	6.7	18.2
36.1	39	0.116	1.42	5.8	14.6
36.2	22	0.33	1.2	9.9	11.3
36.3	19	0.109	0.59	6.6	10.7
36.4	27	0.238	0.96	8.9	18.1
36.5	33	0.108	0.38	5.6	19.7
36.6	37	0.353	0.06	9.5	14.3
36.7	24	0.307	1.17	5.7	15.1
36.8	18	0.241	0.25	7.4	13.2
36.9	19	0.166	0.66	5.9	14.7
37.0	28	0.25	1.0	9.0	14.7
37.1	40	0.297	1.01	6.9	15.2
37.2	12	0.19	0.72	9.8	15.1
37.3	38	0.225	0.86	8.5	18.1
37.4	24	0.186	1.12	7.5	16.8
37.5	33	0.149	0.05	6.7	15.4
37.6	25	0.278	0.54	7.6	11.9
37.7	16	0.15	1.31	9.6	18.0
37.8	15	0.316	1.13	8.8	17.6
37.9	26	0.162	0.18	10.0	19.6
38.0	38	0.149	1.23	7.8	15.4
38.1	35	0.35	0.85	7.8	18.5
38.2	21	0.182	0.67	8.8	10.8
38.3	25	0.257	0.93	8.0	10.8
38.4	32	0.325	0.63	9.4	13.9
38.5	19	0.246	0.75	6.9	10.2
38.6	13	0.115	0.49	9.8	19.3
38.7	25	0.224	0.56	6.8	14.7
38.8	25	0.384	1.34	9.4	11.3
38.9	16	0.206	1.15	5.8	14.8
39.0	40	0.296	0.16	5.4	19.7
39.1	25	0.23	1.3	6.5	10.1
39.2	33	0.191	1.28	9.8	17.2
39.3	37	0.361	0.2	6.3	16.8
39.4	25	0.115	1.5	8.1	11.4
39.5	35	0.135	0.93	7.7	13.2
39.6	15	0.146	0.61	8.4	17.9
39.7	28	0.306	0.63	9.9	15.5
39.8	40	0.373	0.09	5.2	18.4
39.9	40	0.285	1.14	8.2	15.0
40.0	32	0.144	0.65	6.5	11.4
40.1	27	0.302	0.3	7.3	12.8
40.2	22	0.2	0.89	7.1	19.6
40.3	36	0.35	0.9	7.9	10.1
40.4	32	0.243	1.13	5.2	10.4
40.5	30	0.276	1.17	9.7	10.4
40.6	25	0.274	1.2	7.6	12.5
40.7	35	0.122	0.96	10.0	17.8
40.8	13	0.186	0.44	8.4	15.4
40.9	32	0.229	0.81	7.8	15.4
41.0	23	0.307	0.3	8.5	12.4
41.1	40	0.295	0.92	9.6	16.8
41.2	40	0.275	0.51	5.0	19.6
41.3	21	0.335	0.76	8.3	19.2
41.4	20	0.315	1.16	6.0	11.7
41.5	35	0.369	0.12	6.9	18.8
41.6	10	0.146	0.76	5.7	16.8
41.7	18	0.212	1.2	6.9	15.9
41.8	10	0.176	1.14	8.5	17.6
41.9	35	0.116	1.18	7.2	18.8
42.0	28	0.298	1.06	10.0	19.2
42.1	27	0.214	0.46	10.0	19.3
42.2	17	0.217	0.67	7.4	15.1
42.3	10	0.101	1.07	6.9	16.4
42.4	16	0.247	0.49	9.2	10.9
42.5	37	0.334	0.54	10.0	18.5
42.6	35	0.203	0.65	9.6	16.4
42.7	20	0.371	0.04	6.9	13.5
42.8	26	0.199	1.44	5.6	12.2
42.9	27	0.39	0.81	5.3	11.4
43.0	21	0.139	0.83	7.9	13.2
43.1	23	0.342	0.5	8.6	12.1
43.2	13	0.388	1.47	8.5	10.5
43.3	27	0.369	1.24	5.8	19.3
43.4	24	0.352	0.91	9.1	10.0
43.5	22	0.116	1.28	6.4	17.1
43.6	15	0.221	0.44	8.8	13.6
43.7	40	0.28	0.15	7.2	12.7
43.8	32	0.274	1.36	8.3	16.0
43.9	18	0.147	0.81	5.5	13.1
44.0	23	0.354	1.31	5.1	11.4
44.1	39	0.373	0.51	6.0	18.2
44.2	30	0.237	1.05	8.7	16.3
44.3	20	0.393	0.47	7.4	19.6
44.4	25	0.224	0.35	5.1	11.8
44.5	26	0.397	1.42	9.9	15.3
44.6	26	0.203	0.75	7.1	10.5
44.7	15	0.168	0.86	8.5	17.3
44.8	18	0.349	1.05	8.1	11.2
44.9	28	0.368	0.24	8.4	18.6
45.0	30	0.346	1.47	8.2	16.3
45.1	37	0.156	0.46	7.3	12.2
45.2	23	0.196	0.18	5.9	13.1
45.3	14	0.37	0.84	9.7	10.7
45.4	23	0.264	1.3	6.1	14.2
45.5	19	0.326	1.38	9.3	15.0
45.6	28	0.108	0.56	9.5	13.5
45.7	17	0.178	0.39	9.4	18.1
45.8	31	0.208	0.84	7.0	12.5
45.9	21	0.375	1.45	5.0	17.3
46.0	17	0.366	0.06	7.5	19.4
46.1	14	0.135	1.26	5.1	16.6
46.2	15	0.351	0.36	8.5	11.7
46.3	19	0.378	0.13	5.2	14.9
46.4	16	0.216	0.29	5.4	16.7
46.5	13	0.217	0.41	7.1	10.2
46.6	25	0.198	0.65	7.7	19.7
46.7	21	0.337	0.66	7.3	16.0
46.8	37	0.105	1.36	6.9	15.3
46.9	27	0.199	0.79	8.7	19.0
47.0	18	0.137	0.55	5.3	15.3
47.1	15	0.165	0.86	6.4	12.4
47.2	32	0.235	1.17	9.5	10.8
47.3	25	0.375	1.49	8.1	12.6
47.4	23	0.211	0.41	8.4	11.6
47.5	35	0.319	0.22	6.5	15.6
47.6	23	0.4	0.9	7.1	19.4
47.7	24	0.366	1.05	6.2	18.1
47.8	20	0.248	0.96	6.0	15.2
47.9	33	0.297	0.04	6.0	13.5
48.0	10	0.151	0.91	9.8	13.7
48.1	27	0.13	0.23	6.2	19.3
48.2	13	0.154	1.01	6.7	17.4
48.3	34	0.383	0.98	8.0	15.9
48.4	28	0.238	0.99	5.3	16.3
48.5	24	0.195	0.89	6.2	15.6
48.6	11	0.233	1.3	8.8	11.4
48.7	27	0.21	0.82	6.1	14.1
48.8	22	0.22	0.92	7.7	12.1
48.9	39	0.214	0.67	10.0	15.2
49.0	31	0.11	0.27	8.9	19.1
49.1	33	0.317	0.5	6.0	18.1
49.2	13	0.271	1.4	6.4	20.0
49.3	15	0.351	0.7	8.4	18.3
49.4	33	0.241	1.42	5.0	17.0
49.5	22	0.342	0.57	6.6	14.7
49.6	30	0.26	0.67	6.7	18.7
49.7	29	0.359	0.55	8.5	11.8
49.8	33	0.297	0.96	5.2	14.9
49.9	10	0.339	1.49	10.0	17.7
50.0	10	0.242	0.7	6.5	11.2
50.1	15	0.236	1.0	6.5	13.7
50.2	20	0.145	0.06	5.7	19.1
50.3	26	0.308	1.49	6.9	12.0
50.4	31	0.271	1.32	6.5	18.8
50.5	17	0.281	1.32	9.1	13.7
50.6	11	0.203	1.02	5.4	19.3
50.7	40	0.103	0.61	7.5	17.4
50.8	27	0.315	1.15	6.8	13.7
50.9	40	0.269	1.05	7.4	18.0
51.0	28	0.366	0.16	5.0	16.1
51.1	31	0.18	0.78	8.0	10.1
51.2	15	0.385	0.36	9.0	15.9
51.3	27	0.324	0.54	6.3	14.9
51.4	32	0.384	0.98	7.9	18.6
51.5	39	0.255	1.36	5.0	19.6
51.6	30	0.246	1.15	5.7	18.9
51.7	39	0.15	1.4	5.7	12.6
51.8	37	0.179	0.42	6.0	13.7
51.9	18	0.198	0.51	8.0	17.2
52.0	15	0.325	0.12	8.2	12.6
52.1	33	0.266	0.24	7.1	16.4
52.2	32	0.16	0.33	5.9	18.1
52.3	19	0.313	0.12	6.0	10.1
52.4	10	0.161	0.17	9.9	17.5
52.5	37	0.206	0.13	6.8	14.1
52.6	39	0.353	1.28	5.6	12.5
52.7	12	0.25	1.12	5.7	13.7
52.8	35	0.332	0.49	8.2	16.6
52.9	20	0.181	1.47	10.0	17.6
53.0	24	0.38	1.38	5.0	17.1
53.1	39	0.194	0.23	9.4	10.4
53.2	25	0.352	0.08	8.2	17.0
53.3	25	0.313	0.74	9.7	14.8
53.4	29	0.239	0.42	9.6	12.7
53.5	25	0.134	0.45	9.4	15.5
53.6	38	0.361	0.89	9.8	15.1
53.7	15	0.338	0.72	9.7	10.0
53.8	26	0.134	0.77	5.8	19.8
53.9	11	0.303	1.22	7.9	18.2
54.0	15	0.292	0.35	10.0	12.7
54.1	18	0.318	1.18	6.0	14.2
54.2	16	0.102	0.37	5.4	16.2
54.3	32	0.296	0.44	7.5	15.4
54.4	36	0.224	1.27	6.5	20.0
54.5	18	0.303	0.34	8.4	17.1
54.6	21	0.382	0.45	7.3	16.7
54.7	16	0.3	0.23	6.1	15.4
54.8	20	0.189	0.29	9.9	16.8
54.9	12	0.351	0.43	5.8	14.1
55.0	33	0.219	1.2	6.2	13.3
55.1	39	0.3	1.09	6.8	15.4
55.2	12	0.185	1.45	7.0	19.3
55.3	27	0.304	0.22	8.6	11.2
55.4	31	0.396	1.07	10.0	16.6
55.5	22	0.205	0.36	9.4	10.5
55.6	38	0.252	1.16	9.5	14.0
55.7	32	0.397	0.42	8.6	11.2
55.8	13	0.113	0.06	6.3	14.6
55.9	16	0.209	0.51	8.3	16.6
56.0	31	0.199	0.14	6.0	18.8
56.1	18	0.122	0.38	6.6	12.7
56.2	25	0.196	1.38	8.5	12.6
56.3	24	0.358	0.75	6.4	14.9
56.4	17	0.142	0.05	8.7	12.6
56.5	10	0.218	0.82	5.9	13.6
56.6	23	0.31	0.66	8.7	17.1
56.7	22	0.357	1.45	6.8	11.0
56.8	13	0.383	0.43	9.3	11.7
56.9	24	0.203	0.76	6.0	10.5
57.0	23	0.139	0.65	8.9	19.1
57.1	36	0.362	0.79	7.5	14.0
57.2	33	0.267	0.67	7.1	18.9
57.3	15	0.159	1.15	5.7	19.5
57.4	29	0.357	1.21	5.5	14.0
57.5	32	0.128	0.72	7.1	18.5
57.6	22	0.377	1.49	8.4	15.8
57.7	28	0.139	0.07	9.5	11.5
57.8	19	0.349	0.65	7.8	14.8
57.9	23	0.224	1.26	7.1	13.5
58.0	17	0.118	0.96	7.0	16.7
58.1	21	0.155	0.38	6.6	10.1
58.2	15	0.237	0.31	5.1	16.6
58.3	36	0.378	0.07	6.6	15.6
58.4	34	0.202	0.9	5.3	16.7
58.5	40	0.392	0.03	7.8	12.9
58.6	30	0.341	0.0	5.6	14.6
58.7	17	0.217	0.48	9.8	16.3
58.8	13	0.33	1.02	9.7	15.9
58.9	28	0.345	1.11	6.1	10.2
59.0	30	0.101	0.41	5.8	16.8
59.1	13	0.161	0.4	8.2	11.4
59.2	27	0.141	0.58	5.5	18.9
59.3	40	0.118	0.29	10.0	13.9
59.4	17	0.38	0.48	7.1	14.7
59.5	32	0.14	0.09	8.5	13.8
59.6	36	0.322	0.69	7.8	18.8
59.7	34	0.209	0.01	7.7	14.9
59.8	24	0.357	0.85	6.8	18.3
59.9	14	0.399	0.07	7.6	11.1
60.0	16	0.129	1.28	5.7	19.1
60.1	24	0.222	0.54	7.8	14.8
60.2	36	0.321	1.1	9.9	15.9
60.3	15	0.266	0.68	6.4	19.1
60.4	24	0.389	0.82	7.3	16.2
60.5	28	0.252	1.04	10.0	19.8
60.6	30	0.316	0.19	8.3	10.5
60.7	14	0.259	0.16	7.0	19.2
60.8	13	0.305	1.34	5.4	17.6
60.9	36	0.379	0.5	5.0	18.7
61.0	25	0.173	1.34	5.7	10.8
61.1	22	0.242	0.88	8.6	17.8
61.2	27	0.391	0.51	9.8	13.0
61.3	32	0.22	0.37	5.2	12.3
61.4	15	0.384	0.94	9.2	13.9
61.5	22	0.167	0.15	8.7	12.3
61.6	32	0.244	1.32	5.3	16.4
61.7	12	0.252	1.49	7.3	15.8
61.8	35	0.179	0.16	5.9	14.2
61.9	37	0.359	0.95	6.0	16.5
62.0	36	0.337	1.32	6.8	13.5
62.1	19	0.193	0.98	9.3	17.0
62.2	24	0.334	1.31	5.6	15.5
62.3	20	0.154	0.88	9.2	19.7
62.4	40	0.351	0.64	8.4	14.3
62.5	20	0.355	0.96	6.5	11.1
62.6	32	0.268	0.29	8.7	10.7
62.7	13	0.105	1.41	6.3	17.6
62.8	30	0.172	0.27	5.0	13.3
62.9	31	0.326	0.08	8.3	18.0
63.0	18	0.148	0.65	9.7	15.8
